Designator,Mid X,Mid Y,Rotation,Layer
3v3,121.280000,-203.390000,-90.000000,top
BT1,119.965000,-134.875000,90.000000,top
Batt_power_on_SW1,70.290000,-184.925000,-90.000000,top
C1,81.075000,-210.220000,-90.000000,top
C2,83.330000,-218.820000,90.000000,top
C3,87.030000,-220.050000,90.000000,top
C4,96.700000,-162.450000,180.000000,top
C5,96.775000,-165.150000,180.000000,top
C6,96.875000,-167.625000,180.000000,top
C7,138.550000,-163.550000,-90.000000,top
C8,124.530000,-170.300000,0.000000,top
C9,131.760000,-163.560000,-90.000000,top
C10,135.390000,-163.630000,-90.000000,top
C11,104.435000,-203.725000,0.000000,top
C12,104.770000,-200.440000,0.000000,top
C13,103.360000,-192.275000,0.000000,top
C14,110.760000,-193.975000,0.000000,top
C15,130.315000,-247.395000,-90.000000,top
C16,132.375000,-249.895000,180.000000,top
C17,130.725000,-242.850000,180.000000,top
C18,136.541500,-224.875000,90.000000,top
C19,123.210000,-165.800000,0.000000,top
C20,83.660000,-214.220000,-90.000000,top
C21,97.050000,-173.900000,0.000000,top
C22,93.070000,-174.680000,180.000000,top
C23,97.420000,-170.700000,180.000000,top
C24,171.450000,-194.570000,90.000000,top
C25,157.930000,-209.940000,-90.000000,top
C27,133.740000,-247.520000,180.000000,top
C28,140.875000,-210.125000,-90.000000,top
C29,164.325000,-231.800000,90.000000,top
C30,160.975000,-231.850000,0.000000,top
C31,122.650000,-239.295000,0.000000,top
CN1,65.800000,-166.600000,-90.000000,top
Card1,173.750000,-230.475000,90.000000,top
D1,81.050000,-214.070000,180.000000,top
D2,121.410000,-161.560000,90.000000,top
D3,142.310000,-162.870000,90.000000,top
D4,136.691500,-221.075000,90.000000,top
D5,158.980000,-234.480000,-90.000000,top
GND1,120.990000,-195.660000,-90.000000,top
L1,97.970000,-177.180000,0.000000,top
L2,109.710000,-203.200000,90.000000,top
LED1,147.360000,-167.920000,90.000000,top
LED1_red1,84.480000,-206.725000,90.000000,top
LED2,106.950000,-168.230000,-90.000000,top
LED3,131.000000,-221.800000,0.000000,top
LED3_orange1,85.975000,-227.300000,-90.000000,top
R1,72.275000,-230.695000,-90.000000,top
R2,72.390000,-237.960000,90.000000,top
R3,84.520000,-210.960000,90.000000,top
R4,104.360000,-168.270000,90.000000,top
R5,88.290000,-212.580000,-90.000000,top
R6,87.040000,-212.460000,-90.000000,top
R7,89.550000,-208.985000,90.000000,top
R8,91.200000,-209.030000,90.000000,top
R9,147.300000,-164.525000,90.000000,top
R10,95.040000,-172.350000,-90.000000,top
R11,97.390000,-169.500000,0.000000,top
R12,94.120000,-170.050000,0.000000,top
R13,119.290000,-167.440000,0.000000,top
R14,135.900000,-174.450000,-90.000000,top
R15,132.750000,-174.475000,-90.000000,top
R16,129.600000,-174.450000,-90.000000,top
R17,126.650000,-174.375000,90.000000,top
R18,119.390000,-169.140000,0.000000,top
R19,119.365000,-170.815000,0.000000,top
R20,140.550000,-194.225000,-90.000000,top
R21,131.270000,-167.470000,180.000000,top
R22,123.140000,-168.440000,180.000000,top
R23,104.560000,-196.625000,180.000000,top
R24,104.485000,-194.925000,0.000000,top
R25,130.770000,-245.725000,180.000000,top
R26,130.775000,-244.275000,180.000000,top
R27,119.930000,-237.770000,-90.000000,top
R28,128.766500,-226.225000,-90.000000,top
R29,109.200000,-227.830000,-90.000000,top
R30,157.430000,-192.980000,-90.000000,top
R32,104.650000,-199.000000,0.000000,top
R33,152.260000,-211.400000,90.000000,top
R34,108.800000,-218.830000,-90.000000,top
R35,117.300000,-237.840000,0.000000,top
R36,162.290000,-228.370000,90.000000,top
R37,171.840000,-211.075000,90.000000,top
R38,112.990000,-245.580000,0.000000,top
R39,122.700000,-236.420000,180.000000,top
R40,122.700000,-237.845000,0.000000,top
R41,164.050000,-227.350000,90.000000,top
R42,164.100000,-229.525000,-90.000000,top
R43,162.525000,-234.150000,-90.000000,top
R44,163.925000,-235.875000,90.000000,top
R45,165.125000,-239.475000,90.000000,top
R46,162.525000,-239.500000,90.000000,top
R47,85.970000,-224.180000,90.000000,top
RJ1,172.950000,-161.450000,90.000000,top
RJ12_5V1,147.775000,-159.850000,0.000000,top
SW1,96.703500,-216.575000,90.000000,top
SW2,115.250000,-225.925000,0.000000,top
SW3,115.100000,-216.275000,0.000000,top
SW4,131.675000,-179.127500,0.000000,top
TP3,147.730000,-172.000000,0.000000,top
U1,74.450000,-234.235000,180.000000,top
U2,85.805000,-215.285000,0.000000,top
U3,97.320000,-172.240000,180.000000,top
U4,127.022500,-167.140207,0.000000,top
U5,124.920000,-162.240000,-90.000000,top
U6,107.785000,-197.950000,-90.000000,top
U7,121.745000,-246.045000,180.000000,top
U8,173.265000,-202.450000,0.000000,top
U9,156.285000,-202.475000,180.000000,top
U10,139.305000,-202.475000,180.000000,top
U11,169.060000,-192.870000,90.000000,top
U12,160.380000,-211.615000,-90.000000,top
U13,142.925000,-211.875000,-90.000000,top
USBC1,65.722456,-234.030000,-90.000000,top
USB_power_on_SW1,70.262500,-220.325000,-90.000000,top
CN2,74.025000,-158.925000,-90.000000,bottom
